Project Name,Version Number
com.google.api.grpc:grpc-google-cloud-language-v1beta2,0.1.12
net.rapture:RaptureCore,3.0.0
org.apache.asterix:asterix-tools,0.8.8-incubating
net.rapture:Reflex,3.0.0
net.rapture:RaptureAPI,3.0.0
com.google.api.grpc:grpc-google-cloud-speech-v1,0.1.12
com.google.api.grpc:grpc-google-cloud-language-v1,0.1.12
net.rapture:RaptureAddinCore,3.0.0
net.rapture:PersistenceGen,3.0.0
net.rapture:ApiGen,3.0.0
net.rapture:PersistenceGenLib,3.0.0
net.rapture:CodeGenLib,3.0.0
net.rapture:SlateDocGenerator,3.0.0
com.baulsupp:oksocial-output,0.1
org.apache.flink:flink-runtime_2.10,1.0.0
org.apache.flink:flink-clients_2.10,1.0.0
org.apache.flink:flink-shaded-hadoop1_2.10,1.0.0-hadoop1
com.rabbitmq:perf-test,1.0.0
org.apache.hive:hive-service-rpc,2.1.0
com.facebook.presto.cassandra:cassandra-server,2.1.16-1
org.apache.airavata:airavata-commons,0.16
org.apache.flink:flink-shaded-hadoop1,0.10.1-hadoop1
com.google.cloud.bigtable:bigtable-hbase-1.2,0.9.5
org.apache.flink:flink-clients_2.11,0.10.0
org.apache.flink:flink-runtime_2.11,0.10.0
org.apache.flink:flink-shaded-hadoop2_2.11,0.10.1
org.hyperledger.fabric-sdk-java:fabric-sdk-java,0.6
org.apache.hive:hive-hplsql,2.0.0
com.google.api.grpc:proto-google-cloud-logging-v2,0.1.12
com.google.api.grpc:proto-google-common-protos,0.1.12
org.apereo.cas:cas-server-webapp-eureka-server,5.2.0
org.apereo.cas:cas-server-webapp-bootadmin-server,5.2.0
org.apereo.cas:cas-server-core-util,5.2.0
org.apereo.cas:cas-server-core-api-util,5.2.0
org.apereo.cas:cas-server-core-api-authentication,5.2.0
org.apereo.cas:cas-server-core-api-ticket,5.2.0
org.apereo.cas:cas-server-core-api-protocol,5.2.0
com.eternitywall:java-opentimestamps,1.1
com.google.api.grpc:proto-google-cloud-spanner-admin-instance-v1,0.1.12
com.google.api.grpc:proto-google-cloud-monitoring-v3,0.1.12
com.google.api.grpc:proto-google-cloud-language-v1beta2,0.1.12
com.google.api.grpc:proto-google-cloud-speech-v1,0.1.12
com.google.api.grpc:grpc-google-cloud-spanner-admin-instance-v1,0.1.12
com.google.api.grpc:proto-google-cloud-spanner-admin-database-v1,0.1.12
com.google.api.grpc:grpc-google-cloud-spanner-v1,0.1.11b
com.google.api.grpc:grpc-google-cloud-spanner-admin-database-v1,0.1.12
com.google.api.grpc:proto-google-cloud-spanner-v1,0.1.11b
com.google.api.grpc:proto-google-cloud-vision-v1,0.1.12
com.google.api.grpc:proto-google-cloud-language-v1,0.1.12
com.google.api.grpc:grpc-google-longrunning-v1,0.1.12
com.google.api.grpc:proto-google-cloud-speech-v1beta1,0.1.12
com.google.api.grpc:proto-google-longrunning-v1,0.1.12
com.google.api.grpc:proto-google-iam-v1,0.1.12
org.apereo.cas:cas-server-support-grouper,5.2.0
org.apereo.cas:cas-server-support-json-service-registry,5.2.0
org.apereo.cas:cas-server-support-rest-services,5.2.0
org.apereo.cas:cas-server-support-saml,5.2.0
org.apereo.cas:cas-server-support-rest,5.2.0
org.apereo.cas:cas-server-core-services,5.2.0
org.apereo.cas:cas-server-core-api-services,5.2.0
org.apereo.cas:cas-server-core-logout,5.2.0
org.apereo.cas:cas-server-core-web,5.2.0
org.apereo.cas:cas-server-core-events,5.2.0
org.apereo.cas:cas-server-core-api-web,5.2.0
org.apereo.cas:cas-server-core-api-logout,5.2.0
org.apereo.cas:cas-server-core-tickets,5.2.0
org.apereo.cas:cas-server-core-api-events,5.2.0
org.apereo.cas:cas-server-core-api-validation,5.2.0
org.apereo.cas:cas-server-core-api,5.2.0
org.apereo.cas:cas-server-support-jdbc,5.2.0
org.apereo.cas:cas-server-support-jdbc-drivers,5.2.0
org.apereo.cas:cas-server-support-jdbc-authentication,5.2.0
org.apereo.cas:cas-server-support-saml-idp,5.2.0
org.apereo.cas:cas-server-support-saml-googleapps-core,5.2.0
org.apereo.cas:cas-server-support-cookie,5.2.0
org.apereo.cas:cas-server-core,5.2.0
org.apereo.cas:cas-server-core-monitor,5.2.0
org.apereo.cas:cas-server-core-validation,5.2.0
org.apereo.cas:cas-server-core-audit,5.2.0
org.apereo.cas:cas-server-support-oauth-core,5.2.0
org.apereo.cas:cas-server-support-oidc-core,5.2.0
org.apereo.cas:cas-server-support-saml-idp-core,5.2.0
org.apereo.cas:cas-server-core-api-monitor,5.2.0
org.apereo.cas:cas-server-core-webflow,5.2.0
org.apereo.cas:cas-server-core-api-webflow,5.2.0
fr.univ-nantes.termsuite:termsuite-core,2
org.encryptor4j:encryptor4j,0.1
org.apereo.cas:cas-server-support-pac4j-webflow,5.2.0
org.apereo.cas:cas-server-support-pac4j,5.2.0
org.apereo.cas:cas-server-support-pac4j-core-clients,5.2.0
org.apereo.cas:cas-server-support-pac4j-core,5.2.0
com.aerospike:aerospike-helper-java,1.1
com.google.api.grpc:proto-google-cloud-pubsub-v1,0.1.12
org.apereo.cas:cas-server-support-geolocation,5.2.0
io.github.myui:hivemall-core,0.4.1-alpha.1
org.reaktivity:reaktor,0.1
eu.freme-project.e-services:publishing,0.8
io.snappydata:gemfire-core,1.5.0
com.google.api.grpc:proto-google-cloud-error-reporting-v1beta1,0.1.12
com.google.api.grpc:grpc-google-cloud-video-intelligence-v1beta1,0.1.12
com.google.api.grpc:proto-google-cloud-video-intelligence-v1beta1,0.1.12
com.google.api.grpc:proto-google-cloud-trace-v1,0.1.12
com.github.cschen1205:java-ai-minefield-navigator,1.0.1
org.apereo.cas:cas-server-webapp-init,5.2.0
org.apereo.cas:cas-server-support-throttle,5.2.0
org.apereo.cas:cas-server-support-validation,5.2.0
org.apereo.cas:cas-server-webapp-config,5.2.0
org.apereo.cas:cas-server-support-ldap-core,5.2.0
org.apereo.cas:cas-server-support-jpa-util,5.2.0
org.apereo.cas:cas-server-support-reports,5.2.0
org.apereo.cas:cas-server-support-pm,5.2.0
org.apereo.cas:cas-server-support-saml-core,5.2.0
org.apereo.cas:cas-server-support-themes,5.2.0
org.apereo.cas:cas-server-support-oauth-services,5.2.0
org.apereo.cas:cas-server-support-oauth-api,5.2.0
com.foreach.cwb:cwb-core,1.1.0.RELEASE
com.google.api-ads:adwords-extension-ratelimiter,0.1.0
org.petuum:jbosen,1
com.google.api.grpc:proto-google-cloud-dlp-v2beta1,0.1.13
com.google.api.grpc:grpc-google-cloud-dlp-v2beta1,0.1.13
org.apache.tika:tika-batch,1.1
cn.apiclub.third:jgap,3.6.2
com.google.cloud.bigtable:bigtable-hbase-1.3,0.9.6
org.apereo.cas:cas-server-support-rest-authentication,5.2.0
org.apereo.cas:cas-server-support-jpa-ticket-registry,5.2.0
org.apereo.cas:cas-server-support-jpa-service-registry,5.2.0
com.ibm.disni:disni,1.1
org.apereo.cas:cas-server-support-duo,5.2.0
tk.hongkailiu.test:test-app,0.0.3
com.bbossgroups.plugins:bboss-jodconverter-core,4.10.9
com.google.streetview.publish:java-streetview-publish,0.1.1
com.ibm.wala:com.ibm.wala.dalvik,1.4.1
com.qwazr:commons-cli-annotations,1.0.1
org.jasig.portal:uPortal-tools,5.0.0
fr.iscpif.gridscale:glite-security-voms_2.12,1.89
net.librec:librec-core,2.0.0
org.apereo.cas:cas-server-support-oauth-webflow,5.2.0
org.apereo.cas:cas-server-support-oidc,5.2.0
org.apereo.cas:cas-server-support-oauth,5.2.0
site.kason:kamons,1.0.0
edu.stanford.protege:code-generation,2.0.0
org.apereo.cas:cas-server-core-services-registry,5.2.0
org.apereo.cas:cas-server-support-person-directory,5.2.0
org.apereo.cas:cas-server-core-services-authentication,5.2.0
org.apereo.cas:cas-server-core-services-api,5.2.0
org.apereo.cas:cas-server-core-authentication-attributes,5.2.0
org.raml.jaxrs:jaxrs-code-generator,2.1.0
com.linkedin.gobblin:gobblin-admin,0.10.0
org.apereo.cas:cas-server-support-mongo,5.2.0
org.apereo.cas:cas-server-support-consent-api,5.2.0
org.apache.meecrowave:meecrowave-core,1.2.2
org.apereo.cas:cas-server-support-gauth-jpa,5.2.0
com.jimmoores:quandl-core,2.0.0
com.aliyun.odps:odps-udf-local,0.19.3-public
com.liumapp:DNSQueen,1.0.0
com.reprezen.kaizen:openapi-parser,0.0.1.201709142043
org.raml.jaxrs:jaxrs-to-raml-cli,2.1.0
com.oneops.boo:boo,1.0.10
de.petendi:seccoco-java,2.0.0
com.expleague:jmll,1
com.google.api.grpc:proto-google-cloud-dialogflow-v2beta1,0.1.24
com.liferay:com.liferay.portal.search.elasticsearch,1.0.0
com.alibaba.csb.sdk:http-client,1.1.4.0
org.bitbucket.goalhub.grammar:languageTools,2.0.3
nl.goodbytes.xmpp.xep:httpfileuploadcomponent,1.1.2
com.floragunn:search-guard-6,6.0.0-17.beta1
org.apereo.cas:cas-server-webapp-config-server,5.2.0
org.apereo.cas:cas-server-support-pm-webflow,5.2.0
org.apereo.cas:cas-server-core-configuration-metadata-repository,5.2.0-RC2
org.apereo.cas:cas-server-support-generic,5.2.0
com.taobao.tair:tair3-client,3.0.1.13
org.dkpro.argumentation:dkpro-argumentation-io,0.1.0
com.google.api.grpc:proto-google-cloud-datastore-v1,0.1.27
com.hurence.logisland:logisland-elasticsearch_5_4_0-client-service,0.10.1
com.hurence.logisland:logisland-elasticsearch_2_3_3-client-service,0.10.1
com.hurence.logisland:logisland-elasticsearch_2_4_0-client-service,0.10.1
com.google.api.grpc:proto-google-cloud-bigtable-v2,0.1.20
com.google.api.grpc:grpc-google-cloud-bigtable-v2,0.1.20
com.google.api.grpc:grpc-google-cloud-bigquerydatatransfer-v1,0.1.26
com.google.api.grpc:proto-google-cloud-container-v1,0.1.26
com.google.api.grpc:grpc-google-cloud-container-v1,0.1.26
com.google.api.grpc:grpc-google-cloud-dialogflow-v2beta1,0.1.24
com.google.api.grpc:proto-google-cloud-bigtable-admin-v2,0.1.20
com.google.api.grpc:proto-google-cloud-bigquerydatatransfer-v1,0.1.26
org.openbakery.coverage:CoverageReport,0.9
com.google.api.grpc:grpc-google-cloud-bigtable-admin-v2,0.1.20
com.google.api.grpc:grpc-google-cloud-firestore-v1beta1,0.1.20
com.google.api.grpc:proto-google-cloud-firestore-v1beta1,0.1.20
com.selesse:jxlint-cli,2.0.0
eu.fbk.twm:twm-utils,1.4
io.github.azagniotov:stubby4j,4.0.0
com.ontotext.graphdb:graphdb-free-runtime,8.6.0
de.javatux.jfortune:jfortune,0.5
com.moz.fiji.examples.music:fiji-music,0.1.6
com.moz.fiji.testing:fake-hbase,0.1.6
com.moz.fiji.platforms:cdh5.0-platform,0.1.0
com.moz.fiji.platforms:cdh5.1-platform,0.1.0
com.moz.fiji.platforms:cdh5.1-test-platform,0.1.0
com.moz.fiji.platforms:cassandra-test-platform,0.1.0
com.moz.fiji.platforms:compile-platform,0.1.0
com.moz.fiji.platforms:cdh5.3-test-platform,0.1.0
com.moz.fiji.platforms:cassandra-platform,0.1.0
com.moz.fiji.platforms:cdh5.3-platform,0.1.0
com.tistory.devilnangel:system-info,0.0.1
org.toile-libre.libe:curl,0.0.1
io.swagger:swagger-codegen-generators,1.0.0-rc0
de.rwth.i2:attestor,0.3.1
de.hhu.stups:de.prob2.kernel,2.0.0
de.hhu.stups:tla2bAST,1.0.8
com.ibm.narpc:narpc,1
org.lockss.laaws:lockss-core,1.0.0
org.apereo.cas:cas-server-webapp-tomcat,5.2.0
com.google.api.grpc:proto-google-cloud-vision-v1p2beta1,1.3.0
com.google.api.grpc:proto-google-cloud-speech-v1p1beta1,0.1.29
com.google.api.grpc:proto-google-cloud-trace-v2,0.1.24
com.google.api.grpc:proto-google-cloud-os-login-v1,0.1.28
com.google.api.grpc:proto-google-cloud-vision-v1p1beta1,0.1.26
org.apereo.cas:cas-server-support-yubikey-core-mfa,5.2.0
org.apereo.cas:cas-server-support-ws-idp-api,5.2.0
org.apereo.cas:cas-server-support-u2f-core,5.2.0
org.apereo.cas:cas-server-support-surrogate-api,5.2.0
org.apereo.cas:cas-server-support-token-core,5.2.0
org.apereo.cas:cas-server-support-surrogate-authentication,5.2.0
org.apereo.cas:cas-server-support-saml-mdui-core,5.2.0
org.apereo.cas:cas-server-support-saml-idp-ticket,5.3.0
org.apereo.cas:cas-server-support-saml-idp-metadata,5.3.0
org.apereo.cas:cas-server-support-pac4j-authentication,5.2.0
org.apereo.cas:cas-server-support-otp-mfa,5.2.0
org.apereo.cas:cas-server-support-oidc-services,5.2.0
org.apereo.cas:cas-server-core-api-throttle,5.3.0
org.apereo.cas:cas-server-core-api-audit,5.3.0
org.apereo.cas:cas-server-core-authentication-api,5.3.0
org.apereo.cas:cas-server-core-authentication-mfa,5.2.0
org.apereo.cas:cas-server-core-configuration-api,5.3.0
org.apereo.cas:cas-server-core-logout-api,5.3.0
org.apereo.cas:cas-server-core-util-api,5.3.0
org.apereo.cas:cas-server-core-cookie,5.3.0
org.apereo.cas:cas-server-core-tickets-api,5.3.0
org.apereo.cas:cas-server-core-cookie-api,5.3.0
org.apereo.cas:cas-server-support-throttle-core,5.3.0
org.apereo.cas:cas-server-core-validation-api,5.3.0
org.apereo.cas:cas-server-core-webflow-api,5.3.0
org.apereo.cas:cas-server-core-web-api,5.3.0
org.apereo.cas:cas-server-core-api-configuration,5.3.0
com.dev-smart:microdb-generator,0.3.0
org.apereo.cas:cas-server-support-memcached-ticket-registry,5.2.0
org.apereo.cas:cas-server-core-api-configuration-model,5.3.0
me.reactiv.fabric-java-sdk:fabric-java-sdk,0.6.0
org.cloudsimplus:cloudsim-plus-automation,1.2.4
org.talend.sdk.component:component-server,0.0.1
org.talend.sdk.component:component-tools,0.0.1
org.openstreetmap.atlas:atlas,5.0.0
de.digitalcollections:iiif-server-hymir,3.1.0
com.bbn.adept:adept-kb,2.7.3
com.centurylink.mdw:mdw-services,6.0.04
org.codehaus.groovy:groovy-cli-commons,2.5.0
org.metarchive.mex:mex-vocabulary,1.0.2b
com.elo7.nightfall:nightfall-di,1.0.1
com.github.prasanthj:hyperloglog,1
com.actiontestscript:ats-automated-testing,1.1.1
com.google.api.grpc:grpc-google-cloud-dlp-v2beta2,0.1.28
com.google.api.grpc:proto-google-cloud-video-intelligence-v1beta2,0.1.16
com.google.api.grpc:proto-google-appengine-v1,0.1.22
com.google.api.grpc:proto-google-cloud-dlp-v2beta2,0.1.28
com.google.api.grpc:grpc-google-cloud-os-login-v1,0.1.28
com.google.api.grpc:grpc-google-cloud-trace-v2,0.1.24
com.google.api.grpc:grpc-google-cloud-video-intelligence-v1beta2,0.1.17
com.google.api.grpc:grpc-google-cloud-video-intelligence-v1,0.1.25
com.google.api.grpc:grpc-google-cloud-datastore-v1,0.1.27
com.google.api.grpc:grpc-google-cloud-dataproc-v1,0.1.28
com.google.api.grpc:grpc-google-cloud-speech-v1p1beta1,0.1.29
com.google.api.grpc:grpc-google-cloud-vision-v1p1beta1,0.1.26
com.google.api.grpc:proto-google-cloud-dataproc-v1,0.1.28
com.google.api.grpc:proto-google-cloud-video-intelligence-v1,0.1.25
org.apereo.cas:cas-server-support-yubikey-jpa,5.2.0
fi.metatavu.mecm.reader:mecm-reader,0.0.10
org.apereo.cas:cas-server-support-eureka-client,5.2.0
com.github.secdec.astam-correlator:threadfix-cli-lib,1.2.10
org.apereo.cas:cas-server-documentation-swagger,5.2.0
de.wenzlaff.twflug:de.wenzlaff.twflug,0.0.1
org.apereo.cas:cas-server-support-yaml-service-registry,5.2.0
org.apereo.cas:cas-server-support-sqrl,5.2.0-RC2
org.apereo.cas:cas-server-support-interrupt-api,5.2.0
org.apereo.cas:cas-server-support-trusted-mfa,5.2.0
org.apereo.cas:cas-server-support-events-mongo,5.2.0
org.apereo.cas:cas-server-support-radius-core,5.2.0
org.apereo.cas:cas-server-support-pm-rest,5.2.0
org.apereo.cas:cas-server-support-throttle-jdbc,5.2.0
org.apereo.cas:cas-server-support-azure-core,5.2.0
org.apereo.cas:cas-server-support-x509,5.2.0
org.apereo.cas:cas-server-support-surrogate-authentication-jdbc,5.2.0
de.dentrassi.kura:kura-simulator,0.1.0
org.apereo.cas:cas-server-support-mongo-ticket-registry,5.2.0
org.eclipse.rdf4j:rdf4j-storage,2.3.0
io.protostuff:protostuff-cli,2.0.0-alpha27
org.apereo.cas:cas-server-support-fortress,5.2.0
it.unife.endif.ml:bundle,2.2
com.google.api:api-compiler,0.0.5
org.apereo.cas:cas-server-support-dynamodb-service-registry,5.2.0
org.apereo.cas:cas-server-support-couchbase-service-registry,5.2.0
org.apereo.cas:cas-server-support-ehcache-monitor,5.2.0
org.apereo.cas:cas-server-support-jdbc-monitor,5.2.0
org.apereo.cas:cas-server-support-consent-webflow,5.2.0
org.apereo.cas:cas-server-support-duo-core,5.2.0
org.apereo.cas:cas-server-support-pm-ldap,5.2.0
org.apereo.cas:cas-server-support-ignite-ticket-registry,5.2.0
org.apereo.cas:cas-server-support-interrupt-webflow,5.2.0-RC3
org.apereo.cas:cas-server-support-mongo-monitor,5.2.0
org.apereo.cas:cas-server-support-trusted-mfa-rest,5.2.0
org.apereo.cas:cas-server-support-authy-core,5.2.0
com.uber.tchannel:tchannel,0.3.1
org.apereo.cas:cas-server-support-consent-core,5.2.0
org.carewebframework:org.carewebframework.web.core,1.0.0-RC2
org.pistoiaalliance.helm:helm2-helmnotationparser,1.0.0
org.apereo.cas:cas-server-support-gauth-core-mfa,5.2.0
com.bbossgroups.bigdata:bigdata,4.10.8
org.apereo.cas:cas-server-support-rest-x509,5.2.0
org.apereo.cas:cas-server-support-ldap-monitor,5.2.0
org.apereo.cas:cas-server-support-influxdb-core,5.2.0
com.linkedin.gobblin:gobblin-aws,0.10.0
com.rapplogic:arduino-remote-uploader,0.1
com.google.api:toolkit,0.0.1
org.apereo.cas:cas-server-support-interrupt-core,5.2.0
com.buschmais.jqassistant:commandline,1.2.0
com.linkedin.gobblin:gobblin-cluster,0.10.0
org.apereo.cas:cas-server-support-gauth-mongo,5.2.0
com.meliorbis.economics:ModelSolver,1
org.apereo.cas:cas-server-support-infinispan-ticket-registry,5.2.0
org.apereo.cas:cas-server-support-cassandra-authentication,5.2.0
org.apereo.cas:cas-server-support-ws-idp,5.2.0
org.apereo.cas:cas-server-support-surrogate-authentication-ldap,5.2.0
info.unclewang:expert_es,1.0.0
org.friendularity:org.friendularity.bundle.qpid_broker_wrap,1.1.1
org.apereo.cas:cas-server-support-aup-jdbc,5.2.0
org.apereo.cas:cas-server-support-digest-authentication,5.2.0
nl.wimmelstein.impediment:keyexplorer,0.9.1
com.github.kciomek:polyrun,0.2.0
org.apereo.cas:cas-server-support-trusted-mfa-mongo,5.2.0
org.apereo.cas:cas-server-support-audit-mongo,5.2.0
org.apereo.cas:cas-server-support-hazelcast-core,5.2.0
org.apereo.cas:cas-server-support-spnego-webflow,5.2.0
com.opsmatters:newrelic-command,0.1.0
com.ibm.jnvmf:jnvmf,1
org.bitbucket.goalhub:runtime,2.0.3
com.github.lafa.tikaNoExternal:tika-batch,1.0.0
org.apereo.cas:cas-server-support-mongo-core,5.2.0
org.apereo.cas:cas-server-support-u2f-mongo,5.2.0
org.apereo.cas:cas-server-support-couchdb-core,5.3.0
org.pharmgkb:PharmCAT,0.1.1
org.apereo.cas:cas-server-support-shiro-authentication,5.3.0
org.apereo.cas:cas-server-support-rest-service-registry,5.2.1
net.serenity-bdd:serenity-cli,1.1.37-rc.6
org.apereo.cas:cas-server-support-saml-idp-metadata-mongo,5.3.0
uk.ac.ebi.interpro.scan:jms-implementation,5.19-58.0
org.apereo.cas:cas-server-support-configuration-cloud-aws-s3,5.3.0
org.majordodo:majordodo-core,0.10.1
org.apereo.cas:cas-server-support-redis-ticket-registry,5.2.0
com.github.hyukjinkwon:hive-cli,1.2.1.spark2
com.netflix.dynomitemanager:dynomitemanager-core,2.0.0
org.apereo.cas:cas-server-support-sms-clickatell,5.2.0
org.apereo.cas:cas-server-support-gauth-core,5.2.0
org.apereo.cas:cas-server-support-events-memory,5.2.0
org.apereo.cas:cas-server-support-shibboleth,5.2.0
org.signserver.jsign:jsign,1.2-signserver4
com.google.cloud.bigtable:bigtable-hbase-shaded,0.9.5
com.linkedin.gobblin:gobblin-service,0.10.0
jp.igapyon.diary:igapyonv3,1.3.13
com.twitter:scrooge-generator_2.12,17.10.0
com.github.hyukjinkwon:hive-beeline,1.2.1.spark2
com.google.cloud.bigtable:bigtable-hbase-shaded-for-dataflow,0.9.5
org.apereo.cas:cas-server-support-consent-ldap,5.2.0
com.github.kokorin.jaffree:jaffree,0.5.8
org.apereo.cas:cas-server-support-swivel-core,5.2.0
io.getlime.security:powerauth-java-cmd-lib,0.15.0
com.connexta.libero.core:libero-core,1.0.0
org.pharmgkb:pgkb-common-io,0.1.0
org.apereo.cas:cas-server-support-surrogate-authentication-rest,5.2.0
org.apereo.cas:cas-server-support-cassandra-core,5.2.0
org.apereo.cas:cas-server-support-grouper-core,5.2.0
it.anyplace.sync:a-sync-parent,1
org.apereo.cas:cas-server-support-configuration-cloud-vault,5.3.0
io.qaclana:qaclana-server-options,0.1.6510815
org.apereo.cas:cas-server-support-memcached-spy,5.3.0
org.apereo.cas:cas-server-support-hazelcast-discovery-azure,5.3.0
org.apereo.cas:cas-server-support-redis-core,5.2.0-RC3
org.apereo.cas:cas-server-support-hazelcast-monitor,5.2.0
org.apereo.cas:cas-server-support-service-registry-stream,5.2.0
org.apereo.cas:cas-server-support-consent-rest,5.2.0
org.jetbrains.xodus:xodus-sshd,1.0.5
io.projectreactor.addons:reactor-logback,3.0.3.RELEASE
io.github.litmus-benchmark-suite:gremlinator,1
org.apereo.cas:cas-server-support-cloud-directory-authentication,5.2.0
org.apereo.cas:cas-server-support-jms-ticket-registry,5.2.0
com.github.terran4j:terran4j-commons-jfinger,1.0.0.RELEASE
org.apereo.cas:cas-server-support-couchdb-service-registry,5.3.0-RC4
com.github.jjYBdx4IL.utils:cli-utils,1
com.floragunn:search-guard-tlstool,1
org.apereo.cas:cas-server-support-surrogate-webflow,5.2.0
org.apereo.cas:cas-server-support-couchbase-authentication,5.2.0-RC2
org.apereo.cas:cas-server-support-aup-rest,5.2.0
org.apereo.cas:cas-server-support-swivel,5.2.0
org.apereo.cas:cas-server-support-aup-ldap,5.2.0
org.apereo.cas:cas-server-support-radius-core-mfa,5.2.0
org.apereo.cas:cas-server-webapp-undertow,5.2.0
org.apereo.cas:cas-server-support-ldap-service-registry,5.2.0
org.apereo.cas:cas-server-support-throttle-mongo,5.3.0
org.apereo.cas:cas-server-support-cosmosdb-service-registry,5.3.0
org.apereo.cas:cas-server-support-configuration-cloud-mongo,5.3.0
org.apereo.cas:cas-server-support-consul-client,5.3.0
com.github.hyukjinkwon:hive-service,1.2.1.spark2
org.apereo.cas:cas-server-support-couchdb-ticket-registry,5.3.0
org.apereo.cas:cas-server-support-configuration-cloud-aws-secretsmanager,5.3.0
org.apereo.cas:cas-server-support-saml-idp-metadata-aws-s3,5.3.0
com.oneops:oneops-inventory,0.1.0
org.apereo.cas:cas-server-support-token-webflow,5.2.0
org.apereo.cas:cas-server-support-u2f-jpa,5.2.0
org.apereo.cas:cas-server-support-configuration-cloud-azure-keyvault,5.3.0
com.linkedin.gobblin:gobblin-yarn,0.0.0.mavenTest1
com.goldmansachs.obevo:obevo-maven-plugin,6.0.0
com.github.hyukjinkwon:hive-metastore,1.2.1.spark2
org.apereo.cas:cas-server-support-spnego,5.2.0
cc.redpen:redpen-server,1.4.1
org.apereo.cas:cas-server-support-yubikey-mongo,5.2.0
org.apereo.cas:cas-server-support-logging-config-splunk,5.3.0
org.apereo.cas:cas-server-support-ws-sts,5.2.0
com.github.prt2121:kpop-cli,0.1.1
org.apereo.cas:cas-server-support-duo-core-mfa,5.2.0
org.apereo.cas:cas-server-support-mongo-service-registry,5.2.0
org.apereo.cas:cas-server-support-configuration-cloud-kafka,5.3.0
com.reprezen.jsonoverlay:jsonoverlay,0.0.1.201803210221
org.apereo.cas:cas-server-support-wsfederation-webflow,5.2.0
org.apereo.cas:cas-server-support-audit-rest,5.3.0
org.apereo.cas:cas-server-webapp-jetty,5.2.0
org.apereo.cas:cas-server-support-rest-tokens,5.2.0
org.apereo.cas:cas-server-support-metrics,5.2.0
org.drombler.commons:drombler-commons-docking-spi,0.1
org.apereo.cas:cas-server-support-gua,5.2.0
org.apereo.cas:cas-server-support-openid-webflow,5.2.0
org.apereo.cas:cas-server-support-memcached-core,5.2.0
org.apereo.cas:cas-server-support-sms-twilio,5.2.0
org.apereo.cas:cas-server-support-token-authentication,5.2.0
nl.gogognome:messagepropertiessynchronizer,1.0.0
org.apereo.cas:cas-server-support-ehcache-ticket-registry,5.2.0
io.github.agentsoz:abm-jadex,1.0.0
org.apereo.cas:cas-server-support-consent-mongo,5.2.0
org.apereo.cas:cas-server-support-configuration-cloud-amqp,5.3.0
com.liferay:com.liferay.deployment.helper,1.0.3
org.apereo.cas:cas-server-support-hazelcast-discovery-jclouds,5.3.0
com.github.gkarthiks:s3-presigned-url,0.0.1
io.wcm.devops.conga.plugins:conga-aem-crypto-cli,1.6.0
jp.igapyon.blanco.apex.formatter.cli:blancoApexFormatterCli,1.0.1
org.scray:scray-client-jdbc,0.10.0
com.bbossgroups.bigdata:bigdata-web,4.10.8
org.apereo.cas:cas-server-support-syncope-authentication,5.3.0
org.apereo.cas:cas-server-support-redis-service-registry,5.2.0
org.mitre.secretsharing:secret-sharing-cli,1.1.2
com.contentful.generator:generator,0.9.0
org.apereo.cas:cas-server-support-generic-remote-webflow,5.2.0
org.apereo.cas:cas-server-support-remote-shell,5.2.0
com.github.hyukjinkwon:hive-common,1.2.1.spark2
org.apereo.cas:cas-server-support-hazelcast-discovery-aws,5.3.0
org.apereo.cas:cas-server-support-events-influxdb,5.2.0
eu.vytenis.skaitvardziai:skaitvardziai-core,1.1
com.hibegin:simplewebserver-cli,0.0.1
org.apereo.cas:cas-server-support-logging-config-cloudwatch,5.3.0
com.netflix.dynomitemanager:dynomitemanager-common,2.0.0
org.apereo.cas:cas-server-support-aup-webflow,5.2.0
me.andrz.findbugs:findbugs-diff,0.1.0
me.tonyrice.oss:jsync.io,1.10.14
org.apereo.cas:cas-server-support-configuration-cloud-jdbc,5.3.0
org.apereo.cas:cas-server-support-aup-mongo,5.2.0
org.apereo.cas:cas-server-support-token-tickets,5.2.0
org.apereo.cas:cas-server-support-aws,5.3.0
org.apereo.cas:cas-server-support-saml-idp-metadata-rest,5.3.0
org.apereo.cas:cas-server-support-memcached-aws-elasticache,5.3.0
org.apereo.cas:cas-server-support-dynamodb-core,5.3.0
org.apereo.cas:cas-server-support-configuration-cloud-dynamodb,5.3.0
org.pinae:sarabi,1
org.apereo.cas:cas-server-support-configuration-cloud-zookeeper,5.3.0
pl.pkk82:dropbox-manager,0.1.1
org.apereo.cas:cas-server-support-passwordless,5.3.0
org.apereo.cas:cas-server-core-rest,5.3.0
site.kason.kalang:kalang-compiler,1.0.0
org.apereo.cas:cas-server-support-sms-aws-sns,5.3.0
org.apereo.cas:cas-server-support-saml-idp-metadata-jpa,5.3.0
org.apereo.cas:cas-server-support-saml-idp-web,5.3.0-RC2
org.apereo.cas:cas-server-support-cosmosdb-core,5.3.0
org.apereo.cas:cas-server-support-yubikey,5.2.0
org.apereo.cas:cas-server-core-api-test-category,5.3.0
com.dtstack.jlogstash:jlogstash,1.0.0
org.apereo.cas:cas-server-core-audit-api,5.3.0
org.azyva.dragom:dragom-core,0.1.1
com.strapdata.cassandra:cassandra-all,3.0.10
com.linkedin.gobblin:gobblin-scheduler,0.0.0.mavenTest1
fr.inria.gforge.spoon.labs:gumtree-spoon-ast-diff,0.1
